id,airportname,nickname,area,iata_airportcode,icao_airportcode,runway,kinds,prefecture_name,cityname,address,lat,lon,officialURL
61,天草飛行場,天草空港,九州,AXJ,RJDA,1000×30(13/31),その他,熊本県,熊本県天草市,熊本県天草市五和町城河原1丁目2080-5,32.4822511,130.1570632,http://www.pref.kumamoto.jp/soshiki/137/amakusa120323.html
62,大分空港,,九州,OIT,RJFO,3000×45(01/19),拠 点（国）,大分県,大分県国東市,大分県国東市安岐町下原13,33.478528,131.7337743,http://www.oita-airport.jp/
63,宮崎空港,宮崎ブーゲンビリア空港,九州,KMI,RJFM,2500×45(09/27),拠 点（国）,宮崎県,宮崎県宮崎市,宮崎県宮崎市大字赤江,31.8762088,131.4451338,http://www.miyazaki-airport.co.jp/
64,長崎空港,,九州,NGS,RJFU,"(A)1200×30(18/36)
(B)3000×60(14/32)",拠 点（国）,長崎県,長崎県大村市,長崎県大村市箕島町593,32.913643,129.916305,http://www.nabic.co.jp/
65,対馬空港,対馬やまねこ空港,九州,TSJ,RJDT,1900×45(14/32),地方管理,長崎県,長崎県対馬市,長崎県対馬市美津島町鷄知乙283,34.2859032,129.3238869,http://tsushima-airport.co.jp/
66,壱岐空港,,九州,IKI,RJDB,1200×30(02/20),地方管理,長崎県,長崎県壱岐市,長崎県壱岐市石田町筒城東触1725,33.7502681,129.7818584,http://www.fukuekuko.jp/
67,福江空港,五島つばき空港,九州,FUJ,RJFE,2000×45(03/21),地方管理,長崎県,長崎県五島市,長崎県五島市上大津町2183,32.6680988,128.834784,http://www.koj-ab.co.jp/
68,鹿児島空港,,九州,KOJ,RJFK,3000×45(16/34),拠 点（国）,鹿児島県,鹿児島県霧島市,鹿児島県霧島市溝辺町麓822,31.8028526,130.7158347,
69,種子島空港,コスモポート種子島,九州,TNE,RJFG,2000×45(13/31),地方管理,鹿児島県,鹿児島県熊毛郡中種子町,鹿児島県熊毛郡中種子町増田2692-64,30.5762997,130.9391367,
70,屋久島空港,,九州,KUM,RJFC,1500×45(14/32),地方管理,鹿児島県,鹿児島県熊毛郡上屋久町,鹿児島県熊毛郡屋久島町小瀬田501,30.3857741,130.656768,
71,奄美空港,,九州,ASJ,RJKA,2000×45(03/21),地方管理,鹿児島県,鹿児島県奄美市,鹿児島県奄美市笠利町大字和野374-4,28.4320857,129.7063711,http://www.synapse.ne.jp/~aatb/index.htm
72,喜界空港,,九州,KKX,RJKI,1200×30(07/25),地方管理,鹿児島県,鹿児島県大島郡喜界町,鹿児島県大島郡喜界町中里字西牧201−9,28.3219834,129.9267336,
73,徳之島空港,徳之島子宝空港,九州,TKN,RJKN,2000×45(01/19),地方管理,鹿児島県,鹿児島県大島郡天城町,鹿児島県大島郡天城町浅間1-1,27.8357776,128.8830458,
74,沖永良部空港,えらぶゆりの島空港,九州,OKE,RJKB,1350×30(04/22),地方管理,鹿児島県,鹿児島県大島郡和泊町,鹿児島県大島郡和泊町国頭,27.4397944,128.7083395,
75,与論空港,,九州,RNJ,RORY,1200×30(14/32),地方管理,鹿児島県,鹿児島県大島郡与論町,鹿児島県大島郡与論町大字立長,27.0436982,128.3984974,
76,那覇空港,,沖縄,OKA,ROAH,3000×45(18/36),拠 点（国）,沖縄県,沖縄県那覇市,沖縄県那覇市字鏡水150,26.2064033,127.6443535,http://www.naha-airport.co.jp/
77,粟国空港,,沖縄,AGJ,RORA,800×25(01/19),地方管理,沖縄県,沖縄県島尻郡粟国村,沖縄県島尻郡粟国村字浜4550,26.5928022,127.2371944,http://www.churashima.net/shima/aguni/airport/index.html
78,久米島空港,,沖縄,UEO,ROKJ,2000×45(03/21),地方管理,沖縄県,沖縄県島尻郡久米島町,沖縄県島尻郡久米島町字字北原566-2,26.3644947,126.7127081,http://kumejima-airport.co.jp/
79,北大東空港,,沖縄,KTD,RORK,1500×45(03/21),地方管理,沖縄県,沖縄県島尻郡北大東村,沖縄県島尻郡北大東村字南19−16,25.9447762,131.3243857,
80,南大東空港,,沖縄,MMD,ROMD,1500×45(02/20),地方管理,沖縄県,沖縄県島尻郡南大東村,沖縄県島尻郡南大東村字旧東258,25.8472668,131.2617749,
81,宮古空港,,沖縄,MMY,ROMY,2000×45(04/22),地方管理,沖縄県,沖縄県宮古島市,沖縄県宮古島市平良下里1657-128,24.7794618,125.2951601,http://www.miyakoap.co.jp/
82,下地島空港,,沖縄,SHI,RORS,3000×60(17/35),地方管理,沖縄県,沖縄県宮古島市,沖縄県宮古島市伊良部佐和田1727,24.8251632,125.151195,https://shimojishima.jp/
83,多良間空港,,沖縄,TRA,RORT,1500×45(18/36),地方管理,沖縄県,沖縄県宮古郡多良間村,沖縄県宮古郡多良間村字仲筋2351-7,24.6538026,124.6735576,
84,石垣空港,南ぬ島（ぱいぬしま）石垣空港,沖縄,ISG,ROIG,2000×45(04/22),地方管理,沖縄県,沖縄県石垣市,沖縄県石垣市字白保1960-104-1,24.3969747,124.2441216,http://www.ishigaki-airport.co.jp/
85,与那国空港,,沖縄,OGN,ROYN,2000×45(08/26),地方管理,沖縄県,沖縄県八重山郡与那国町,沖縄県八重山郡与那国町字与那国4350,24.4659435,122.977573,
