id,airportname,nickname,area,iata_airportcode,icao_airportcode,runway,kinds,prefecture_name,cityname,address,lat,lon,officialURL
64,____,,__,NGS,RJFU,"(A)1200_30(18/36)
(B)3000_60(14/32)",_ ____,___,______,,,,http://www.nabic.co.jp/
65,____,________,__,TSJ,RJDT,1900_45(14/32),____,___,______,,,,http://tsushima-airport.co.jp/
66,____,,__,IKI,RJDB,1200_30(02/20),____,___,______,,,,http://www.fukuekuko.jp/
67,____,_______,__,FUJ,RJFE,2000_45(03/21),____,___,______,,,,http://www.koj-ab.co.jp/
68,_____,,__,KOJ,RJFK,3000_45(16/34),_ ____,____,_______,,,,
69,_____,_________,__,TNE,RJFG,2000_45(13/31),____,____,___________,,,,
70,_____,,__,KUM,RJFC,1500_45(14/32),____,____,___________,,,,
71,____,,__,ASJ,RJKA,2000_45(03/21),____,____,_______,,,,http://www.synapse.ne.jp/~aatb/index.htm
72,____,,__,KKX,RJKI,1200_30(07/25),____,____,__________,,,,
73,_____,_______,__,TKN,RJKN,2000_45(01/19),____,____,__________,,,,
74,______,,__,OKE,RJKB,1350_30(04/22),____,____,__________,,,,
75,____,,__,RNJ,RORY,1200_30(14/32),____,____,__________,,,,
76,____,,__,OKA,ROAH,3000_45(18/36),_ ____,___,______,,,,http://www.naha-airport.co.jp/
77,____,,__,AGJ,RORA,800_25(01/19),____,___,_________,,,,http://www.churashima.net/shima/aguni/airport/index.html
78,_____,,__,UEO,ROKJ,2000_45(03/21),____,___,__________,,,,http://kumejima-airport.co.jp/
79,_____,,__,KTD,RORK,1500_45(03/21),____,___,__________,,,,
80,_____,,__,MMD,ROMD,1500_45(02/20),____,___,__________,,,,
81,____,,__,MMY,ROMY,2000_45(04/22),____,___,_______,,,,http://www.miyakoap.co.jp/
82,_____,,__,SHI,RORS,3000_60(17/35),____,___,_______,,,,https://shimojishima.jp/
83,_____,,__,TRA,RORT,1500_45(18/36),____,___,__________,,,,
84,____,______________,__,ISG,ROIG,2000_45(04/22),____,___,______,,,,http://www.ishigaki-airport.co.jp/
85,_____,,__,OGN,ROYN,2000_45(08/26),____,___,___________,,,,
